num_rooms,num_bathrooms,house_size_sqft,lot_size_sqft,age_of_house,location_score,crime_rate,school_rating,price
7,4,3160,9774,21,10,0.468,2,1571447.84
4,2,2672,1339,15,7,0.888,2,976979.47
5,5,779,6415,59,10,0.767,1,1007349.67
7,4,3464,3756,59,7,0.812,3,1267989.03
3,5,4477,8877,9,7,0.813,6,1490962.42
5,3,3169,4522,24,5,0.643,7,1220249.66
5,2,3393,5887,30,1,0.458,1,879186.87
7,4,2251,7260,20,2,0.865,5,1028360.15
2,3,4481,2970,32,9,0.926,5,1286456.39
3,3,2861,4191,30,8,0.024,1,1045619.67
7,5,4927,7742,20,8,0.052,4,1705466.6
3,3,4631,2416,35,10,0.959,10,1533887.8
3,2,2208,9908,64,1,0.277,1,651825.38
5,2,3186,7258,3,6,0.873,1,1113756.42
4,1,3395,3556,67,9,0.389,7,1217677.58
3,2,3276,7653,3,8,0.119,7,1413211.65
6,3,1619,8509,8,3,0.08,3,983783.56
5,2,3488,2736,29,4,0.157,7,1144163.88
2,5,4759,3891,44,3,0.25,3,1038441.47
4,1,4743,1768,3,6,0.489,2,1170784.12
6,3,694,8097,68,9,0.701,10,1244885.72
6,1,1162,4003,22,8,0.986,4,949429.53
2,3,979,7299,15,10,0.442,10,1187454.89
4,5,4718,5973,21,4,0.518,3,1284118.52
5,1,1923,1689,71,2,0.522,7,760820.35
1,4,3208,9784,47,8,0.539,1,1090533.31
4,3,3675,9973,61,8,0.518,6,1415121.67
2,4,4314,8182,59,6,0.009,2,1169254.89
6,1,2514,4331,79,8,0.002,8,1237969.08
5,4,4289,1601,4,9,0.098,5,1527619.58
4,4,2943,9034,79,1,0.102,3,903495.55
1,1,1411,4149,6,9,0.705,10,1064071.93
1,5,3713,8805,50,2,0.205,7,1025082.74
3,4,2864,4001,64,1,0.895,2,661610.82
3,4,4129,1149,8,8,0.929,5,1285560.49
7,5,3972,1383,44,8,0.976,8,1524306.44
2,4,1180,4177,46,4,0.939,1,566947.15
4,4,1109,6828,66,8,0.272,1,923451.54
4,4,2656,8494,23,7,0.51,3,1208656.2
7,2,4366,6996,9,2,0.175,3,1275307.4
6,5,871,7883,72,5,0.806,7,1017291.18
6,4,1115,4201,76,10,0.888,6,1132139.34
7,5,2753,3985,47,4,0.851,7,1214174.69
6,3,4638,6085,34,3,0.433,4,1303286.22
3,3,1364,7572,53,1,0.759,2,538130.48
4,4,1768,9290,70,5,0.098,2,931796.94
7,5,1284,4147,15,10,0.04,10,1526434.92
4,5,4678,1588,52,8,0.753,1,1261298.84
1,5,2737,5745,39,9,0.425,9,1283728.49
3,2,4554,3689,19,7,0.996,7,1293491.42
5,3,1435,6073,68,1,0.097,10,831176.76
3,5,4480,4072,44,1,0.856,3,928002.99
7,5,2838,9869,5,1,0.48,2,1108633.92
5,2,825,6034,68,2,0.827,3,598278.45
1,2,2034,7702,48,1,0.817,7,653207.44
7,5,3980,8412,38,4,0.916,5,1382659.49
2,1,4361,3292,1,10,0.298,3,1274940.29
4,5,2485,7545,38,9,0.95,9,1427736.12
1,5,3278,5040,20,4,0.152,2,943727.14
4,2,1770,3122,39,4,0.082,7,903508.71
6,2,1140,6098,53,7,0.432,10,1179782.99
2,5,4578,2661,11,9,0.828,6,1395167.75
2,5,1867,7420,36,7,0.473,6,1067756.52
1,5,4542,4847,37,1,0.829,7,1043976.08
2,2,3075,8381,14,1,0.73,6,891559.01
5,5,4103,8120,6,4,0.209,2,1264559.94
2,5,2081,1898,77,4,0.949,5,723618.19
4,4,2486,6047,49,1,0.061,3,809971.97
4,1,2740,2534,64,6,0.898,9,1023336.83
7,3,4466,5463,66,10,0.304,8,1664795.92
4,1,2605,6709,43,2,0.5,10,989256.48
7,4,628,4216,30,5,0.422,2,857824.83
4,3,4496,7102,42,8,0.172,1,1314283.17
5,5,1351,8393,76,3,0.358,4,860986.39
7,4,4603,1480,47,9,0.193,4,1539136.48
3,5,2576,8963,60,7,0.204,10,1337998.34
6,2,3494,2870,74,9,0.187,2,1208650.2
1,4,4244,7468,9,1,0.489,7,1046285.81
4,2,3256,8801,28,5,0.798,3,1049691.53
2,4,2144,2991,47,3,0.569,7,804370.78
4,4,4871,9659,61,4,0.893,7,1314424.49
2,2,3644,8386,12,4,0.637,1,939360.2
6,3,742,9672,43,7,0.689,6,1121913.72
6,1,4585,9964,46,10,0.668,4,1575893.19
6,5,670,3646,63,8,0.449,8,1140698.6
2,4,1152,3263,52,10,0.689,8,1074164.65
4,5,4012,7637,76,5,0.07,3,1140522.0
6,2,1999,5722,75,10,0.86,4,1175792.74
5,5,2599,5192,43,7,0.778,1,1034804.53
7,2,2658,3983,27,3,0.245,10,1203505.83
2,5,2472,3967,1,3,0.768,2,795936.58
2,1,4425,3797,56,3,0.013,7,962639.12
4,1,2758,7321,56,4,0.217,7,1061026.77
2,1,4539,4027,33,6,0.065,9,1278190.32
2,1,2535,7364,57,5,0.78,10,989999.53
6,1,3771,2824,51,8,0.756,9,1424007.59
4,1,1357,1129,28,5,0.814,9,816807.74
6,2,4323,3286,34,5,0.004,6,1298696.58
7,4,1549,1955,74,10,0.501,8,1252940.89
7,5,4490,5277,47,2,0.705,9,1444610.9
6,1,798,2985,32,5,0.155,7,896356.93
7,2,1423,7886,74,7,0.65,4,1078168.04
4,2,4732,3117,72,2,0.084,4,1004000.02
1,2,4806,4421,77,6,0.181,6,1142065.36
6,4,3299,5291,8,7,0.476,4,1357461.55
5,5,4562,3311,47,5,0.654,7,1375878.43
5,4,4545,8642,66,9,0.146,8,1674092.07
2,3,2302,9441,35,4,0.185,8,1021138.16
7,2,3213,8648,70,10,0.204,8,1592387.5
5,3,3353,6204,43,1,0.239,2,905461.89
2,1,3157,6193,59,8,0.227,10,1235060.98
1,1,3846,2093,62,8,0.395,2,901074.56
4,4,1971,3265,4,7,0.654,2,966220.27
4,5,3449,3975,75,8,0.438,2,1190636.83
4,3,1441,8649,39,2,0.776,4,752460.12
5,5,2407,9244,18,3,0.719,5,1122464.51
1,4,1743,9010,46,9,0.127,4,1032167.6
5,1,4923,3559,64,1,0.049,5,1014027.08
7,5,1966,6055,66,8,0.878,4,1217248.07
5,5,4457,9214,17,8,0.08,7,1695168.7
1,1,2466,802,49,7,0.148,10,947757.19
1,3,875,8930,29,5,0.022,1,684878.67
7,1,762,2059,65,4,0.628,1,617310.47
1,5,4862,8990,4,10,0.582,2,1525118.77
1,3,3888,5123,41,10,0.987,1,1136258.16
4,3,3895,6573,4,10,0.887,10,1590258.98
7,1,2444,3368,49,10,0.411,10,1467710.83
3,5,2393,2685,57,6,0.372,3,896568.97
3,4,4134,7860,78,1,0.297,6,1026040.67
1,5,2152,8644,7,5,0.152,10,1147526.32
3,2,4641,6911,30,4,0.138,6,1276094.22
3,4,4392,3138,11,4,0.132,1,1095491.96
1,3,1099,4558,20,7,0.114,6,842503.59
